Force,ID,Kind,Domain,Country,Category,Timestamp,Location_X,Location_Y,Location_Z
1,4,1,1,29,1,1987438849,-30001141,-55016078,0
1,2,1,1,29,1,1987441235,-30001141,-55016078,0
1,2,1,1,29,1,1987448393,-30001141,-55016076,0
1,2,1,1,29,1,1987448989,-30001141,-55016078,0
1,4,1,1,29,1,1987457341,-30001143,-55016078,0
1,1,1,1,29,1,1987467482,-30001141,-55016078,0
1,4,1,1,29,1,1987476430,-30001143,-55016078,0
1,1,1,1,29,1,1987486570,-30001141,-55016076,0
1,3,1,1,29,1,1987487167,-30001141,-55016078,0
1,4,1,1,29,1,1987496115,-30001143,-55016076,0
1,1,1,1,29,1,1987496711,-30001141,-55016078,0
1,2,1,1,29,1,1987505659,-30001143,-55016076,0
1,2,1,1,29,1,1987515204,-30001141,-55016076,0
1,2,1,1,29,1,1987515800,-30001143,-55016076,0
1,4,1,1,29,1,1987524748,-30001143,-55016078,0
1,2,1,1,29,1,1987534889,-30001143,-55016078,0
1,2,1,1,29,1,1987544433,-30001141,-55016076,0
1,2,1,1,29,1,1987545030,-30001143,-55016078,0
1,4,1,1,29,1,1987553978,-30001141,-55016078,0
1,2,1,1,29,1,1987554574,-30001143,-55016076,0
1,3,1,1,29,1,1987563522,-30001143,-55016076,0
1,4,1,1,29,1,1987563522,-30001141,-55016078,0
1,2,1,1,29,1,1987573066,-30001141,-55016076,0
1,2,1,1,29,1,1987582611,-30001141,-55016076,0
1,2,1,1,29,1,1987583207,-30001141,-55016078,0
1,1,1,1,29,1,1987592155,-30001141,-55016078,0
1,2,1,1,29,1,1987601699,-30001143,-55016078,0
1,4,1,1,29,1,1987611840,-30001143,-55016076,0
1,4,1,1,29,1,1987621385,-30001141,-55016078,0
1,3,1,1,29,1,1987630929,-30001141,-55016076,0
1,3,1,1,29,1,1987640473,-30001143,-55016078,0
1,1,1,1,29,1,1987641070,-30001141,-55016076,0
1,4,1,1,29,1,1987650018,-30001141,-55016078,0
1,1,1,1,29,1,1987659562,-30001143,-55016076,0
1,3,1,1,29,1,1987669107,-30001143,-55016076,0
1,3,1,1,29,1,1987678651,-30001141,-55016076,0
1,1,1,1,29,1,1987688195,-30001143,-55016078,0
1,4,1,1,29,1,1987697740,-30001141,-55016076,0
1,1,1,1,29,1,1987698336,-30001141,-55016078,0
1,3,1,1,29,1,1987707284,-30001141,-55016076,0
1,2,1,1,29,1,1987707881,-30001141,-55016076,0
1,4,1,1,29,1,1987716828,-30001143,-55016078,0
1,4,1,1,29,1,1987726373,-30001141,-55016078,0
1,1,1,1,29,1,1987735917,-30001143,-55016078,0
1,4,1,1,29,1,1987745462,-30001143,-55016078,0
1,3,1,1,29,1,1987746058,-30001143,-55016076,0
1,3,1,1,29,1,1987756795,-30001141,-55016078,0
1,2,1,1,29,1,1987766340,-30001143,-55016076,0
1,2,1,1,29,1,1987774691,-30001141,-55016076,0
1,1,1,1,29,1,1987775288,-30001141,-55016078,0
1,3,1,1,29,1,1987784236,-30001141,-55016078,0
1,3,1,1,29,1,1987784832,-30001141,-55016078,0
1,4,1,1,29,1,1987793780,-30001143,-55016076,0
1,1,1,1,29,1,1987803324,-30001141,-55016076,0
1,1,1,1,29,1,1987803921,-30001141,-55016076,0
1,3,1,1,29,1,1987812869,-30001143,-55016078,0
1,3,1,1,29,1,1987813465,-30001141,-55016076,0
1,2,1,1,29,1,1987822413,-30001143,-55016078,0
1,2,1,1,29,1,1987831957,-30001141,-55016076,0
1,4,1,1,29,1,1987832554,-30001141,-55016078,0
1,1,1,1,29,1,1987841502,-30001143,-55016076,0
1,3,1,1,29,1,1987851046,-30001141,-55016078,0
1,1,1,1,29,1,1987851643,-30001143,-55016076,0
1,2,1,1,29,1,1987861187,-30001143,-55016076,0
1,2,1,1,29,1,1987870731,-30001141,-55016078,0
1,4,1,1,29,1,1987880276,-30001143,-55016078,0
1,1,1,1,29,1,1987889820,-30001141,-55016076,0
1,4,1,1,29,1,1987899365,-30001141,-55016078,0
1,3,1,1,29,1,1987908909,-30001141,-55016076,0
1,4,1,1,29,1,1987918453,-30001141,-55016078,0
1,2,1,1,29,1,1987919050,-30001141,-55016076,0
1,2,1,1,29,1,1987927998,-30001141,-55016076,0
1,2,1,1,29,1,1987937542,-30001141,-55016076,0
1,4,1,1,29,1,1987938139,-30001141,-55016076,0
1,3,1,1,29,1,1987947086,-30001141,-55016078,0
1,4,1,1,29,1,1987956631,-30001143,-55016076,0
1,3,1,1,29,1,1987966772,-30001143,-55016076,0
1,3,1,1,29,1,1987975719,-30001141,-55016076,0
1,1,1,1,29,1,1987976316,-30001143,-55016078,0
1,4,1,1,29,1,1987985860,-30001141,-55016076,0
1,4,1,1,29,1,1987996001,-30001141,-55016076,0
1,3,1,1,29,1,1988005546,-30001143,-55016078,0
1,3,1,1,29,1,1988006142,-30001141,-55016076,0
1,3,1,1,29,1,1988014493,-30001143,-55016076,0
1,2,1,1,29,1,1988024038,-30001143,-55016076,0
1,3,1,1,29,1,1988024634,-30001143,-55016076,0
1,4,1,1,29,1,1988033582,-30001141,-55016078,0
1,4,1,1,29,1,1988042530,-30001141,-55016078,0
1,1,1,1,29,1,1988052671,-30001141,-55016078,0
1,2,1,1,29,1,1988062215,-30001141,-55016078,0
1,2,1,1,29,1,1988062812,-30001141,-55016078,0
1,3,1,1,29,1,1988075935,-30001141,-55016076,0
1,2,1,1,29,1,1988081901,-30001143,-55016078,0
1,2,1,1,29,1,1988091445,-30001143,-55016076,0
1,4,1,1,29,1,1988100989,-30001141,-55016078,0
1,2,1,1,29,1,1988110534,-30001141,-55016076,0
1,3,1,1,29,1,1988120078,-30001143,-55016078,0
1,1,1,1,29,1,1988129622,-30001143,-55016078,0
1,2,1,1,29,1,1988139167,-30001143,-55016078,0
1,4,1,1,29,1,1988148711,-30001141,-55016076,0
1,1,1,1,29,1,1988149308,-30001141,-55016078,0
1,4,1,1,29,1,1988158256,-30001143,-55016078,0
1,1,1,1,29,1,1988158852,-30001141,-55016078,0
1,1,1,1,29,1,1988167800,-30001143,-55016076,0
1,2,1,1,29,1,1988177941,-30001141,-55016076,0
1,3,1,1,29,1,1988187485,-30001143,-55016078,0
1,3,1,1,29,1,1988197030,-30001141,-55016078,0
1,2,1,1,29,1,1988197626,-30001141,-55016076,0
1,4,1,1,29,1,1988206574,-30001141,-55016076,0
